,,,,PRODUCTOS QUE COMERCIALIZA,,,,
NO. ES,UBICACION,COLONIA,CP,MAGNA,PREMIUM,DIESEL,DME,
E08568,AVENIDA ELOY CAVAZOS 2748,BOSQUES DE LA PASTORA,67176,S,S,N,N,
E08779,AUTOPISTA MONTERREY-REYNOSA KM 10,JARDINES DE GUADALUPE,67100,S,S,N,N,
E08871,BOULERVARD MIGUEL DE LA MADRID KM 8 LADO SUR,ANTERIOR HACIENDA LINARITOS,.,S,S,N,N,
E08879,AUTOP. AL AEROPUERTO Y CARRETERA MONTERREY-CADEREY.700,,,S,S,N,N,
E08974,AVENIDA ACAPULCO NO. 161,FRACCIONAMIENTOIONAMIENTO LOS CRISTALES,67117,S,S,N,N,
E09055,AVENIDA CONSTITUYENTES DE NUEVO LEON NO. 103,ESCAMILLA,67170,S,S,N,N,
E09142,CAMINO A LAS ESCOBAS NO.1614-A,DOS RIOS,67180,S,S,N,N,
E09245,AVENIDA BENITO JUAREZ S/N ESQ. CALLE CUAUHTEMOC,CENTRO,.,S,S,N,N,
E09350,AVENIDA RUIZ CORTINES NO. 247-1,NUEVA LIBERTAD,67120,S,S,N,N,
E09379,AVENIDA MIGUEL ALEMAN S/N,LA PURISIMA,67129,S,S,N,N,
E09488,AVENIDA ELOY CAVAZOS NO.7840-1,RINCON DE LA SIERRA,67190,S,S,N,N,
E09604,AVENIDA ELOY CAVAZOS 7890,HACIENDA DE GUADALUPE,67192,S,S,N,N,
E09728,AVENIDA BENITO JUAREZ S/N,CENTRO,67100,S,S,N,N,
E09829,AVENIDA PABLO LIVAS NO. 2425,LAS VILLAS 3ER. SECTOR,.,S,S,N,N,
E09968,AVENIDA CHAPULTEPEC NO. 2700,VALLE DE CHAPULTEPEC,67140,S,S,N,N,
E10029,AVENIDA BENITO JUAREZ NO. 611,FRACCIONAMIENTO. INDUSTRIAL LA SILLA,67199,S,S,N,N,
E10114,AVENIDA ACUEDUCTO NO. 300,JARDINES DE LA SILLA,67192,S,S,N,N,
E10227,AVENIDA LOPEZ MATEOS 1501,LA FLORESTA,67118,S,S,N,N,
E10444,AVENIDA MAESTRO ISRAEL CAVAZOS GARZA 335,FRACCIONAMIENTO. PRIVADAS DE SAN MIGUEL,67114,S,S,N,N,
E10594,AVENIDA MIGUEL ALEMAN # 7000 INTERIOR 1,TORRES  LINDA VISTA,67130,S,S,N,N,
E10834,MAESTRO ISRAEL CAVAZOS GARZA 125,CERRO AZUL,67750,S,S,S,N,
E10956,ELOY CAVAZOS 5277,LA PLAYA,67190,S,S,N,N,
E11020,AVENIDA CHAPULTEPEC # 810,SANTA MARGARITA,67140,S,S,S,N,
E11058,AVENIDA RUIZ CORTINES 2001,.,67114,S,S,N,N,
E11136,BENITO JUAREZ NO. 5451,LOS LERMAS,67190,S,S,S,N,
E11181,CARRETERA MONTERREY-REYNOSA NO. 5480,.,67190,S,S,N,N,
E11360,BOULERVARD MIGUEL DE LA MADRID # 3900,JARDINES DE SAN RAFAEL,67110,S,S,S,N,
E11366,CARRETERA A SAN MIGUEL 2929,.,67114,S,S,S,N,
E11387,AVENIDA PABLO LIVAS NO. 5501,FRACCIONAMIENTOIONAMIENTO SCOP,67190,S,S,S,N,
E12399,AVENIDA PLUTARCO ELIAS CALLES NO. 2350,.,67168,S,S,N,N,
E12753,PLATA ESQ. MELCHOR OCAMPO S/N LOTE 2 MANZANA 573,TORREMOLINOS LA FE,.,N,N,N,N,
J01228,CARRETERA A SAN MIGUEL KM.2 NO.200,VILLA DE SAN ANTONIO,67100,N,N,S,N,
J01362,PLUTARCO ELIAS CALLES 144,NUEVO SAN SEBASTIAN,67150,S,N,S,N,
E02074,CARRETERA MTY MONCLOVA KM N 25,CENTRO,65601,S,S,N,N,
E09152,CARRETERA MONTERREY-MONCLOVA KM 25 NO. 203 NTE,CENTRO,65600,S,S,S,N,
E06360,CARRETERA NACIONAL S/N,CENTRO,.,S,S,S,N,
E03673,AVENIDA ARTURO B DE LA GARZA N 510,CENTRO,67250,S,S,S,N,
E04660,CARRETERA A SAN ROQUE KM 2.9 NO. 1200,LOS REYES,.,S,S,S,N,
E04853,CARRETERA A REYNOSA NO. 212,LOS ARCOS,67190,S,N,S,N,
E06159,ELOY CAVAZOS NO. 100,S/C,67140,S,S,N,N,
E06636,CARR.LOS EBANITOS-SAN ROQUE CRUZ CARR.MTY-REYNOSA #500,LAS SABINAS,67169,S,S,N,N,
E07291,AVENIDA ARTURO B. DE LA GARZA NO.408,CENTRO,67250,S,S,N,N,
E07634,AVENIDA ARTURO B. DE LA GARZA NO. 1506,20 DE SEPTIEMBRE,67260,S,S,N,N,
E08202,"ARTURO B. DE LA GARZA ESQ, COLINAS DE LA MORENA",HACIENDA LA MORENA,.,S,S,N,N,
E08327,TEOFILO SALINAS GARZA ESQ. CALLE REAL SAN PABLO S/N,FRACCIONAMIENTO. LA CIUDADELA,.,S,S,N,N,
E08402,TEOFILO SALINAS GARZA ESQ. CON CALLE FLOR DE LOTO S/N,FRACCIONAMIENTOIONAMIENTO LA CIUDADELA,67250,S,S,N,N,
E08484,CARRETERA SAN MATEO-CD BENITO JUAREZ ESQ.LIB. JULIO CISN,LOS FRESNOS,.,S,S,S,N,
E08598,CARRETERA A REYNOSA KM 298 NO. 106-A,.,.,S,S,N,N,
E09596,ACUEDUCTO LINARES-MONTERREY S/N,RANCHO VIEJO,67280,S,S,N,N,
E10383,CARRETERA A REYNOSA NO. 150,FRACCIONAMIENTOIONAMIENTO EL SABINAL,67250,S,S,N,N,
E10753,"LIBRAMIENTO NORTE MTY KM. 59+900, (ANT. CARRETERA APODACA-JUAREZ NO. 700)",,,S,S,S,N,
E10797,AVENIDA SAN ROQUE 103,FRACCIONAMIENTO. AMERICALLE UNIDA,67277,S,S,S,N,
E10883,CARRETERA MONTERREY - REYNOSA KM. 13,.,66339,S,S,N,N,
E10963,SAN MATEO A VILLA JUAREZ 500,FRACCIONAMIENTO. LAS LOMAS,67265,S,S,S,N,
E11107,CAMINO A SAN ROQUE KM 2.9 1200,LOS REYES,67277,S,S,S,N,
E11234,PASEO DE LOS HUERTOS 1191,FRACCIONAMIENTO. LOS HUERTOS,67250,S,S,S,N,
E11659,AVENIDA SIERRA VISTA 103,FRACCIONAMIENTO. SIERRA VISTA,67250,S,S,S,N,
E12042,ACUEDUCTO NO. 801 Y 803,SANTA ISABEL,67280,N,N,N,N,
J01415,CAMINO A HUINALA KM 63,RANCHO LOS OLIVOS,67250,N,N,S,N,
E03035,ANTONIO I. VILLARREAL NO. 27,LAMPAZOS,65070,S,N,S,N,
E01994,HIDALGO NO. 300  NORTE,CENTRO,67700,S,S,S,N,
E02076,LIBRAMIENTO VIAL CARRETERA NAL. KM. 153.5,.,67700,S,S,S,N,
E04003,INDUSTRIA TEXTIL NO.450,PARQUE INDUSTRIAL LINARES,.,S,S,S,N,
E05421,PROTACIO  RODRIGUEZ 101 OTE.,CENTRO,67700,S,S,N,N,
E05612,AVENIDA HIDALGO NORTE 803,CENTRO,67700,S,S,S,N,
E08700,CARRETERA NACIONAL MONTERREY-CD. VICTORIA,.,.,S,S,N,N,
E10536,LAS AMERICAS 480,CONGREGACION LA PETACA,67750,S,S,S,N,
E11562,BOULERVARD DIAZ ORDAZ NO.2135,POTRERO SANTA TERESA,67700,S,S,S,N,
E11680,ENTRONQUE A LA ESCONDIDA 1601,MODESTO GALVAN CANTU,67710,S,S,S,N,
E03278,CARRETERA ESTACION LOS ALDAMA S/N,EL ALTO,66900,S,N,S,N,
E02869,MARIANO MATAMOROS 221,CENTRO,66850,S,N,S,N,
E03225,"CARRETERA MONTERREY-REYNOSA, KM. 68",,,S,N,S,N,
E10170,CARRETERA  MONTERREY - CHINA KM. 64,,,S,S,S,N,
E12098,"BOULEVARD LEANDRO RIOS 206 NTE.,",COMUNIDAD ALTAMIRA,66800,S,S,S,N,
E06426,CARRETERA MONTERREY-MIGUEL ALEMAN KM 38 # 7,,,S,S,S,N,
E03649,ALLENDE NO.11,CENTRO,67980,S,N,N,N,
E10928,GUERRERO # 717,CENTRO,0,S,N,S,N,
E01997,AVENIDA CARLOS CANTU N 704,CENTRO,67500,S,S,S,N,
E01998,CALLE MARIANO ESCOBEDO N 516 0TE,CENTRO,67500,S,S,N,N,
E02093,AVENIDA CAPITAN ALONSO DE LEON SUR 500,BARRIO ZARAGOZA,67530,S,S,S,N,
E02828,AVENIDA EMPACADORES N S/N,VALERIA GARCIA GALVAN,67500,S,S,S,N,
E03734,CARRETERA MONTERREY-CD VICTORIA LIB MONTEMORELOS KM 200.8,.,.,S,S,S,N,
E06615,PROGRESO NO. 111,BARRIO DE ZARAGOZA,67530,S,S,N,N,
E09473,CARRETERA NACIONAL MONTERREY LINARES KM. 214.5,,,S,S,S,N,
E09873,LIBERTAD 900,BARRIO MATAMOROS,67500,S,S,S,N,
E10654,CARRETERA CD. VICTORIA-MONTERREY KM. 219+870,,,S,S,S,N,
E01982,AVENIDA SANTOS DEGOLLADO N 701 SUR,OBISPADO,64060,S,S,N,N,
E01984,AVENIDA COLON N 2802,ACERO,64580,S,S,S,N,
E01999,AVENIDA ALFONSO REYES N 2420,DEL PRADO,64410,S,S,N,N,
E02001,AVENIDA FRANCISCO I MADERO NOo. 140,CENTRO,64000,S,S,N,N,
E02002,AVENIDA HIDALGO # 1003 PTE.,CENTRO,64000,S,S,N,N,
E02003,AVENIDA FRANCISCO I MADERO N 1804,CENTRO,64000,S,S,N,N,
E02005,AVENIDA VILLAGRAN N 505 NORTE,CENTRO,64000,S,S,N,N,
E02018,AVENIDA MELCHOR OCAMPO N 427 OTE,CENTRO,64000,S,S,N,N,
E02020,PEDRO MARTINEZ OTE N.1807,NUEVO REPUEBLO,64700,S,S,S,N,
E02021,CALLE RUPERTO MARTINEZ N 748 PTE,CENTRO,64000,S,S,N,N,
E02022,AVENIDA BERNARDO REYES N 2122 NTE,INDUSTRIAL,64440,S,S,S,N,
E02024,AVENIDA EDISON N 964 NTE,CENTRO,64000,S,S,N,N,
E02028,AVENIDA RUIZ CORTINES NO.3428 OTE.,MODERNA,64530,S,S,S,N,
E02029,CALLE ANTONIO VILLAREAL N 909,FIERRO,64590,S,S,S,N,
E02030,AVENIDA PINO SUAREZ N 768 SUR,CENTRO,64000,S,S,N,N,
E02031,AVENIDA FRANCISCO I MADERO N 2002 OTE,OBRERA,64010,S,S,N,N,
E02036,AVENIDA FRANCISCO I MADERO N 768,CENTRO,64000,S,S,N,N,
E02040,MARIANO SALAS PTE. 498,REGINA,64480,S,S,N,N,
E02041,AVENIDA EUGENIO GARZA SADA No. 2406,ROMA,64700,S,S,N,N,
E02532,SIMON BOLIVAR NO. 2185,MITRAS CENTRO,64460,S,S,N,N,
E02536,AVENIDA SAN JERONIMO NO. 1001,SAN JERONIMO,64640,S,S,N,N,
E02962,SENDERO DEL DORADO Y PASEO DEL AGUA,VILLA LAS FUENTES,64890,S,S,N,N,
E03052,AVENIDA GONZALITOS NO.901 NTE.,MITRAS NORTE,64320,S,S,N,N,
E03187,AVENIDA EUGENIO GARZA SADA 4379,CONTRY,64780,S,S,S,N,
E03323,AVENIDA LINCOLN NO. 295,MITRAS NORTE,64320,S,S,S,N,
E03328,AVENIDA LAZARO CARDENAS N 3808,FRACCIONAMIENTO LAS TORRES,64269,S,S,S,N,
E03352,AVENIDA RODRIGO GOMEZ N 1899,CENTRAL,64619,S,S,N,N,
E03453,AVENIDA M0R0NES PRIETO N 990 OTE,CARACOL,66420,S,S,S,N,
E03570,AVENIDA FIDEL VELAZQUEZ N 1505,CONSTITUYENTES DEL 57,64560,S,S,N,N,
E03574,AVENIDA LINCOLN PTE. No. 10000,PLUTARCO ELIAS CALLES,41080,S,S,S,N,
E03583,AVENIDA INSURGENTES N 3991,COLINAS DE SAN JERONIMO,64636,S,S,S,N,
E03639,AVENIDA MORONES PRIETO N 2300 PTE,LOMA LARGA,64740,S,S,S,N,
E03678,AVENIDA REVOLUCION N 3401,DE LA PRIMAVERA,64830,S,S,N,N,
E03709,CARRETERA NACIONAL KM. 269,,,S,S,S,N,
E03710,AVENIDA EUGENIO GARZA SADA # 6106,CIUDAD SATELITE,64960,S,S,S,N,
E03723,PROL. RUIZ CORTINES PTE. NO. 723,MITRAS NORTE,64310,S,S,S,N,
E03745,AVENIDA RUIZ CORTINES N 3505 PTE,MITRAS NORTE,64460,S,S,N,N,
E03772,AVENIDA RUIZ CORTINES N 720-A OTE,VICTORIA,64520,S,S,S,N,
E03893,AVENIDA BERNARDO REYES N 3605 NTE,NI#O ARTILLERO,64280,S,S,S,N,
E03919,AVENIDA LAZARO CARDENAS N 2885,LOS ROSALES,64798,S,S,S,N,
E03952,AVENIDA EUGENIO GARZA SADA 4306,LAS BRISAS,64780,S,S,N,N,
E03969,AVENIDA FUNDIDORA  N 823,OBRERA,64780,S,S,N,N,
E04045,AVENIDA SOLIDARIDAD N 7070 PTE,16 DE SEPTIEMBRE,64160,S,S,S,N,
E04064,BOULEVARD CONSTITUCION NO. 900,MIRAVALLE,64660,S,S,N,N,
E04085,PROL RUIZ CORTINES N 5700,VALLES DE INFONAVIT,64350,S,S,S,N,
E04109,AVENIDA ROGELIO CANTU GOMEZ # 1000,COLINAS DE SAN JERONIMO,64630,S,S,N,N,
E04112,CALLE TERAN N 6902,TOPO CHICO,64260,S,S,N,N,
E04150,AVENIDA LINCOLN N 5677,VALLE VERDE SEGUNDA SECCION,64117,S,S,N,N,
E04167,AV.COLON # 2435 PTE.,CENTRO,64460,S,S,S,N,
E04173,CHURUBUSCO NO. 1121,PARQUE INDUSTRIAL REGIOMONTANO,64540,S,S,N,N,
E04192,AVENIDA BERNARDO REYES N 2619 NORTE,BELLA VISTA,64440,S,S,S,N,
E04193,AVENIDA AZTLAN NO. 9300,UNIDAD SAN BERNABE IV SECTOR,64104,S,S,N,N,
E04214,AVENIDA DE LOS ANGELES N 3450,COYOACAN,69517,S,S,N,N,
E04262,AVENIDA FIDEL VELAZQUEZ N 306 PTE,CENTRAL,64190,S,S,N,N,
E04320,AVENIDA CHAPULTEPEC N 1844,BUENOS AIRES,64800,S,S,N,N,
E04350,AVENIDA ALEJANDRO DE RODAS N 3102,LAS CUMBRES,64619,S,S,N,N,
E04412,AVENIDA NO REELECCION # 5521,COLINAS DE VALLE VERDE,64140,S,S,N,N,
E04444,PROLONG. AVENIDA BERNARDO REYES NO. 6765,SAN BERNABE TOPO CHICO,64280,S,N,S,N,
E04458,AVENIDA RUIZ CORTINES N0. 550,MITRAS CENTRO,64320,S,S,N,N,
E04460,AVENIDA RAUL RANGEL FRIAS NO. 699,BUROCRATAS DEL ESTADO,64660,S,S,N,N,
E04478,EMILIANO ZAPATA NO. 207,EMILIANO ZAPATA,64390,S,S,S,N,
E04481,AVENIDA PASEO DE LOS LEONES N 2754,CUMBRES 3 SECTOR,64610,S,S,N,N,
E04520,AVENIDA REFORMA NO. 1905 PTE.,CENTRO,64000,S,S,S,N,
E04586,AVENIDA VENUSTIANO CARRANZA N 699,CENTRO,64000,S,S,N,N,
E04590,AVENIDA LUIS MORA N 413,OBRERISTA,64470,S,S,N,N,
E04592,AVENIDA COLON N 1100,CENTRO,64000,S,S,S,N,
E04593,AVENIDA FIDEL VELAZQUEZ NO. 3234,MITRAS NORTE,64190,S,S,N,N,
E04621,AVENIDA AARON SAENZ GARZA N 1800,SANTA MARIA,64650,S,S,S,N,
E04708,AVENIDA LAZARO CARDENAS N 1300,ALFAREROS,64753,S,S,N,N,
E04750,AVENIDA FELIX URESTI GOMEZ N 304,CENTRO,64000,S,S,N,N,
E04751,AVENIDA HIDALGO N 1477 PTE,EXSEMINARIO,64000,S,S,N,N,
E04804,AVENIDA ALFONSO REYES N 1628,INDUSTRIAL 2000,64490,S,S,N,N,
E04838,AVENIDA FRANCISCO I MADERO N 2900 PTE,MITRAS SUR,64020,S,S,N,N,
E04841,AVENIDA LINCOLN NO. 4512,VALLE DE LAS MITRAS,64300,S,S,N,N,
E04893,AVENIDA RUIZ CORTINEZ No 700,BELLA VISTA,64410,S,S,N,N,
E04899,AVENIDA RODRIGO GOMEZ NO. 1445,CENTRAL,64280,S,S,S,N,
E04948,AVENIDA RUIZ CORTINES N 2100,FRACCIONAMIENTO INDUSTRIAL,64299,S,S,N,N,
E05052,AVENIDA ALFONSO REYES N 4090 NORTE,DEL NORTE,64500,S,S,S,N,
E05107,AVENIDA REVOLUCION N 2555,LADRILLERA,64830,S,S,N,N,
E05128,FRANCISCO BELTRAN # 3708,VENUSTIANO CARRANZA,64560,S,S,N,N,
E05204,AVENIDA EUGENIO GARZA SADA N 220,ROMA,64000,S,S,N,N,
E05264,AVENIDA CHAPULTEPEC N 1837,BUENOS AIRES,64800,S,S,N,N,
E05269,PASEO DE LOS LEONES NO. 300,CUMBRES,64610,S,S,N,N,
E05287,AVENIDA CAMINO REAL NO. 10399,EL PORVENIR,64206,S,S,S,N,
E05328,AVENIDA LAZARO CARDENAS N 2700,MIRADOR RESIDENCIAL,64910,S,S,N,N,
E05369,AVENIDA PINO SUAREZ SUR NO. 932-B,.,64000,S,S,N,N,
E05419,AVENIDA LAZARO CARDENAS 2301,BALCONES DEL MIRADOR,66220,S,S,N,N,
E05697,AVENIDA RODRIGO GOMEZ NO. 6000,MOCTEZUMA,64240,S,S,N,N,
E05703,AVENIDA SAN PEDRO No. 100,MIRAVALLE,64660,S,S,N,N,
E05723,AVENIDA FRANCISCO I. MADERO PONIENTE No. 3191,MITRAS CENTRO,64660,S,S,N,N,
E05760,AVENIDA FELIX U. GOMEZ NO. 1602 NORTE,TERMINAL,64580,S,S,N,N,
E05777,AVENIDA IGNACIO MORONES PRIETO NO. 300,INDEPENDENCIA,67150,S,S,S,N,
E05886,AVENIDA RODRIGO GOMEZ No. S/N,VALLE MORELOS,64180,S,S,N,N,
E05921,JOSE ANGEL CONCHELLO NO. 2409,REFORMA,64550,S,S,S,N,
E05942,AVENIDA AZTLAN NUM. 7113,VALLE DE SANTA LUCIA,64140,S,S,N,N,
E05999,DR. JOSE ELEUTERIO GONZALEZ NUMERO 977,FRACCIONAMIENTOIONAMIENTO LOS LEONES,64210,S,S,N,N,
E06031,WASHINGTON NO. 1863 PTE.,CENTRO,64460,S,S,N,N,
E06126,AVENIDA ADOLFO RUIZ CORTINES # 1904,GARZA NIETO,64420,S,S,N,N,
E06135,AVENIDA ALFONSO REYES NO.209,CONTRY,64860,S,S,N,N,
E06441,BOULEVARD CARRETERA NACIONAL CON ENTRADA A LA ESTANZUELA NUM. 7877,LA ESTANZUELA,64988,S,S,N,N,
E06720,AVENIDA FELIX U. GOMEZ 4199,COYOACAN,64510,S,S,N,N,
E06823,BOULEVARD CONSTITUCION NO. 3111,SANTA MARIA,64019,S,S,N,N,
E06869,AVENIDA FUNDIDORA NO. 800,OBRERA,64750,S,S,N,N,
E06871,AVENIDA REVOLUCION NO 3804,COLONIAL LA SILLA,64860,S,S,S,N,
E06951,VICENTE GUERRERO NTE. NO. 2800,REGINA,64290,S,S,S,N,
E06955,FRANCISCO MARQUEZ NO. 450-A,OBRERA,64470,S,S,N,N,
E06964,TAPIA NUMERO 340 PONIENTE,CENTRO,64000,S,S,S,N,
E06980,AVENIDA RUIZ CORTINES NO. 6600,HACIENDA SANTA CLARA,66346,S,S,N,N,
E07003,AVENIDA ALFONSO REYES S/N,15 DE SEPTIEMBRE,64790,S,S,N,N,
E07043,AVENIDA PENITENCIARIA 849-A,FERROCARRILERA,64270,S,S,N,N,
E07079,RAUL RANGEL FRIAS 5631,DEL MAESTRO,66260,S,S,N,N,
E07098,AVENIDA SAN JERONIMO 508,SAN JERONIMO,64640,S,S,N,N,
E07232,CAMINO REAL NO. 7726,TOPO CHICO,64260,S,S,S,N,
E07290,CARRETERA NACIONAL 2000,LA ESTANZUELA,64988,S,S,N,N,
E07349,AVENIDA FRANCISCO I. MADERO 4510,CHURUBUSCO,64000,S,S,N,N,
E07372,ALFONSO REYES 1581 NORTE,SARABIA,64490,S,S,N,N,
E07446,AVENIDA CABEZADA S/N,BARRIO ALAMEDA,64109,S,S,N,N,
E07493,ANTONIO I. VILLARREAL NO. 3701,NUEVO MADERO,66346,S,S,N,N,
E07514,PABLO A. DE LA GARZA 2007-A,ARGENTINA,64550,S,S,N,N,
E07614,JOSE ELEUTERIO GONZALEZ 513,MITRAS NORTE,64320,S,S,N,N,
E07644,AVENIDA CABEZADA NO. 1100,BARRIO MIRASOL 2 SECTOR,66072,S,S,S,N,
E07695,AVENIDA AARON SAENZ GARZA NO. 1349,RINCON DE SANTA MARIA,66339,S,S,N,N,
E07696,AVENIDA ABRAHAM LINCOLN NO. 6771,SAN BERNABE TOPO CHICO,64108,S,S,N,N,
E07780,BAJA CALIFORNIA NO. 325-B,INDEPENDENCIA,64720,S,S,N,N,
E07820,AVENIDA CONSTITUCION 3908,CHURUBUSCO,64590,S,S,N,N,
E07841,CASA DEL OBRERO MUNDIAL 5007,C.R.O.C.,64200,S,S,N,N,
E07842,AVENIDA LUIS DONALDO COLOSIO 500 A,CIUDAD SOLIDARIDAD,64108,S,S,N,N,
E07843,PROLONG. FRANCISCO I. MADERO NO. 4221-1 AL 11,FIERRO,64590,S,S,N,N,
E07869,AVENIDA VICENTE GUERRERO NTE. # 1234,SARABIA,64490,S,S,N,N,
E07892,AVENIDA FRANCISCO I. MADERO 3553 OTE.,ACERO,64580,S,S,N,N,
E07971,AVENIDA RUIZ CORTINEZ 2301,FRACCIONAMIENTO. COYOACAN,64510,S,S,N,N,
E07984,PROLONGACION FCO. I MADERO NO. 4345-A,FIERRO,64590,S,S,N,N,
E08099,AVENIDA CONSTITUCION S/N,CHURUBUSCO,64590,S,S,N,N,
E08116,AVENIDA LUIS DONALDO COLOSIO ESQ AVENIDA NO REELECCION,CD. SOLIDARIDAD,64571,S,S,N,N,
E08303,AVENIDA VENUSTIANO CARRANZA NO. 1940,NUEVAS COLONIAS,64710,S,S,N,N,
E08339,CARRETERA NACIONAL KM 263,LOS CRISTALES,67300,S,S,N,N,
E08467,PEGASO 101,CONTRY,64510,S,S,N,N,
E08522,CARRETERA NACIONAL 4288-A,EXCOMUNIDAD DE LA ESTANZUELA,.,S,S,N,N,
E08532,AVENIDA SAN JERONIMO 513,SAN JERONIMO,64640,S,S,N,N,
E08599,CARRETERA NACIONAL KM 263,LOS CRISTALES,64985,S,S,N,N,
E08624,AVENIDA REVOLUCION NO. 3941,VILLA DEL RIO,64860,S,S,N,N,
E08833,EUGENIO GARZA SADA 1301,CARACOL,64810,S,S,N,N,
E08891,AVENIDA LIC. RAUL RANGEL FRIAS 3500,RESIDENCIAL LIC. RAUL RANGEL FRIAS,64165,S,S,N,N,
E09019,LAZARO CARDENAS 2475,LADERAS DEL MIRADOR,64765,S,S,N,N,
E09035,AVENIDA CABEZADA NO. 100,BARRIO DEL PARQUE (CD. SOLIDARIDAD),64109,S,S,N,N,
E09064,HILARIO MARTINEZ ESQUINA CON CASTELAR,INDEPENDENCIA,64720,S,S,N,N,
E09081,AVENIDA VENUSTIANO CARRANZA SUR 480,MARIA LUISA,64040,S,S,N,N,
E09442,FELIX U. GOMEZ S/N,JUANA DE ARCO,64000,S,S,N,N,
E09577,AVENIDA LUIS DONALDO COLOSIO ESQ. AVENIDA NO REELECCION,S/C,64571,S,S,N,N,
E09597,TAPIA OTE. 1116,CENTRO,64000,S,S,N,N,
E09685,AVENIDA REVOLUCION NO. 5200,CONTRY,64860,S,S,N,N,
E09773,AVENIDA FELIX U. GOMEZ 2929,VILLAS DE LINDA VISTA,64540,S,S,S,N,
E09869,AVENIDA EUGENIO GARZA SADA S/N,LAS BRISAS,64780,S,S,N,N,
E09909,ASTROS ESQUINA CON DEL CENTRO SUR,SOLIDARIDAD BARRIO SAN PEDRO,64108,S,S,N,N,
E09931,AVENIDA FRANCISCO I. MADERO NO. 2886,MITRAS SUR,64020,S,S,N,N,
E09958,AVENIDA EUGENIO GARZA SADA NO. 139,CORTIJO DEL RIO,64890,S,S,N,N,
E10033,AVENIDA EUGENIO GARZA SADA NO. 7015-D,CAMPESTRE MEDEROS,64970,S,S,N,N,
E10046,AVENIDA LA ESTANZUELA NO. 102,LA ESTANZUELA,64984,S,S,S,N,
E10174,AVENIDA PASEO DE LOS LEONES # 3389,BOSQUES DE LAS CUMBRES,.,S,S,S,N,
E10221,AVENIDA FELIX U. GOMEZ NO. 2820,MODERNA,64530,S,S,N,N,
E10229,"AV.EUGENIO GARZA SADA # 2200,2201-1 AL 2200-20",LOS CRISTALES,64985,S,S,S,N,
E10269,AVENIDA LUIS DONALDO COLOSIO # 716,BARRIO SAN CARLOS CD. SOLIDARIDAD,64100,S,N,S,N,
E10342,JUAN SANCHEZ AZCONA # 185,DEL NORTE,64500,S,S,S,N,
E10345,AVENIDA LUIS ELIZONDO NO.421,MEXICO,64740,S,S,N,N,
E10409,AVENIDA PASEO DE LOS LEONES NO. 1239,CUMBRES 1ER. SECTOR,64610,S,S,N,N,
E10432,PASEO DE LOS LEONES NO. 501,CERRADA DE CUMBRES,64349,S,S,S,N,
E10454,AVENIDA NO REELECCION # 200,BARRIO DE GUADALUPE,64108,S,S,N,N,
E10540,AVENIDA EUGENIO GARZA SADA # 6101,LAS BRISAS,64780,S,S,N,N,
E10644,AVENIDA LUIS DONALDO COLOSIO 311,BARRIO CHAPULTEPEC CD. SOLIDARIDAD,64102,S,S,N,N,
E10711,AVENIDA LINCOLN # 5400-1,VALLE VERDE,64117,S,S,N,N,
E10762,JIMENEZ # 957,CENTRO,64700,S,S,S,N,
E10913,02 DE ABRIL # 1520,NUEVO REPUEBLO,64700,S,S,S,N,
E11180,"AVENIDA LA LUZ # 6113, 6113-1",LA ESTANZUELA,0,S,S,S,N,
E11392,BOULEVARD ACAPULCO # 4600,LAS BRISAS,64780,S,S,S,N,
E11406,AVENIDA MANUEL L. BARRAGAN NO. 4908,HOGARES FERROCARRILEROS,64260,S,S,N,N,
E11541,AVENIDA ABRAHAM LINCOLN NO. 5797,SAN BERNABE TOPO CHICO,64100,S,S,N,N,
E11561,AVENIDA GUERRERO NO. 3730,DEL NORTE,64500,S,S,N,N,
E11612,AVENIDA LUIS DONALDO COLOSIO NO. 11000-1,CIUDAD SOLIDARIDAD,64100,S,S,N,N,
E12002,AVENIDA RUIZ CORTINES NO. 9000,FRACCIONAMIENTO. RESIDENCIAL PUERTA DE HIERRO,64346,S,S,N,N,
E12052,CALZADA FRANCISCO I MADERO # 1601 PTE.,CENTRO,64000,S,S,S,N,
E12285,AVENIDA AYUTLA NO. 1515,NUEVO REPUEBLO,64700,S,S,N,N,
E12380,AVENIDA ALMAZAN 1500,TOPO CHICO,64107,S,S,S,N,
E12411,AVENIDA LUIS DONALDO COLOSIO NO. 100 Y 100-A,SAN BERNABE,64100,S,S,N,N,
J01117,LERDO DE TEJADA No. 318,COYOACAN,64510,N,N,S,N,
J01118,AVENIDA BERNARDO REYES N 3810 NTE,POPULAR,64290,N,N,S,N,
J01266,AVENIDA INSURGENTES NO. 1618 PTE.,COLINAS DE SAN JERONIMO,64640,S,N,S,N,
J01276,JULIAN VILLAGRAN 1315,INDUSTRIAL,64440,N,N,S,N,
J01328,AVENIDA LOMAS DE LOS PINOS NO. 5715,LA ESTANZUELA,64988,N,N,S,N,
J01363,MATAMOROS 1717 PONIENTE,OBISPADO,64010,S,N,N,N,
J01368,CHURUBUSCO 300,FIERRO,64590,N,N,S,N,
J01439,MIGUEL DOMINGUEZ NO. 1229,INDUSTRIAL,64008,N,N,S,N,
E06191,IRINEO VILLARREAL S/N,CENTRO,65450,S,N,N,N,
E03704,CARRETERA STA. MA. LA FLORENA KM. 24,,,S,N,S,N,
